Titulo,Descripcion,Source,Link,Thumbnail,CleanDate
Félix Arratia busca sacar a las dinastías en Juárez,El candidato de MC aseguró que la gente necesita un cambio y por eso su campaña se centrará en seguridad transporte público y servicios públicos.,MVS Noticias,https://mvsnoticias.com/nuevo-leon/2024/3/31/felix-arratia-busca-sacar-las-dinastias-en-juarez-632956.html,12KyLo0mEMUkOe8mGC94wvOBItHXKELee,31/03/2024
Félix Arratia lleva agua a colonias de Juárez,"El alcalde electo de Juárez Félix Arratia respondió a reportes de falta de agua tras la Tormenta Tropical ""Alberto""",MVS Noticias,https://mvsnoticias.com/nuevo-leon/2024/6/26/felix-arratia-lleva-agua-colonias-de-juarez-645593.html,17NpMdtLHdf6sp3twyXJP5A7irL5p1Qqg,26/06/2024
Entregan a estudiantes útiles escolares en Juárez,Félix Arratia convocó a través de sus redes la entrega de kits escolares para apoyar a las familias con los gastos de útiles.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/8/13/entregan-estudiantes-utiles-escolares-en-juarez-223559.html,1Mi5WxjeALAVdjDylnVARhcgj9vQM2cZc,13/08/2024
Entrega Félix Arratia kits de útiles escolares a familias de Juárez,Entrega Félix Arratia kits de útiles escolares a familias de Juárez ... El alcalde electo de Juárez Félix Arratia comenzó con la entrega de kits básicos de...,noticiasnuevoleon.com.mx,https://noticiasnuevoleon.com.mx/2024/08/entrega-felix-arratia-kits-de-utiles-escolares-a-familias-de-juarez/,1BNvvCw1tw3wmi7i143J4MFldwX3Cv1r1,13/08/2024
Alcaldes electos de Guadalupe Juárez y Cadereyta piden a Banobras recursos,Con estos recursos los alcaldes planean construir obras para enfrentar los daños que dejó la tormenta Alberto.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/8/21/alcaldes-electos-de-guadalupe-juarez-cadereyta-piden-banobras-recursos-224187.html,1LJMNG3AM_jfQVNWVrW5dEi3Tw112MkTa,21/08/2024
Félix Arratia ofrece gobierno profesional y honesto al iniciar la transición en Juárez,Félix Arratia ofrece gobierno profesional y honesto al iniciar la transición en Juárez ... El alcalde electo de Juárez Félix Arratia inició el proceso de entrega...,Noticias Nuevo León,https://noticiasnuevoleon.com.mx/2024/08/felix-arratia-ofrece-gobierno-profesional-y-honesto-al-iniciar-la-transicion-en-juarez/,17fBcoTYBHZ_cbWaqFuy43wRFyHghETNa,26/08/2024
Félix Arratia inicia transición en Juárez; ofreció un gobierno profesional y honesto,Arratia agradeció la disposición y apertura del actual alcalde Francisco Treviño para llevar un proceso de entrega - recepción respetuoso. ... Juárez.- Félix...,ABCNoticias.MX,https://abcnoticias.mx/local/2024/8/27/felix-arratia-inicia-transicion-en-juarez-ofrecio-un-gobierno-profesional-honesto-224526.html,1yjMWtpsU-INTRrfXt_14ZFicjjXJdQxz,27/08/2024
Anuncia Arratia a Américo Garza como su secretario de Ayuntamiento,El alcalde electo de Juárez destacó que el próximo Secretario del Ayuntamiento está comprometido con construir un nuevo municipio.,El Porvenir,https://elporvenir.mx/local/anuncia-arratia-a-americo-garza-como-su-secretario-de-ayuntamiento/765824,1YAwcy3XnHUEHAuPR_HgdZlWDHyEvI-kI,27/08/2024
Nos están dejando un municipio sin recursos: Félix Arratia,El alcalde electo de Juárez Félix Arratia comentó que peligra el aguinaldo de los trabajadores de este municipio.,POSTA,https://www.posta.com.mx/nuevoleon/nos-estan-dejando-un-municipio-sin-recursos-felix-arratia/v-vl1608548,1ue6jxQNr8QTkj7k1grHWtAXurjSoab-X,30/08/2024
Suman mil 'aviadores' en nómina de Juárez Nuevo León,No serían 400 como lo dijo el secretario de Ayuntamiento entrante Américo Garza sino mil según estima el próximo alcalde juarense Félix Arratia.,ABCNoticias.MX,https://abcnoticias.mx/local/2024/9/4/suman-mil-aviadores-en-nomina-de-juarez-nuevo-leon-225202.html,1xsPT-Df7BTszrbbx646AINoixX0UA1t6,4/9/2024
