empresa,estado_matriz,municipio_matriz,telefono,extension,uuid
COMERCIALIZADORA SPC,,,,,6g0b0
BACHOCO (14),,,,,6c3s9
PAPEL Y EMPAQUES GONDI,,,,,2g4d4
CICSA (54),,,,,7t3z8
DON JING TECHWIN,,,,,9i3n3
INTERGER,,,,,3p0i2
MAS BODEGA,,,,,4q2j7
BUSSINES NEXT LEVEL,,,,,9f2p2
BEBIDAS PURIFICADAS PEPSI,,,,,0h5d4
BOEASANA,,,,,1t7p9
ASYMEX MONTERREY,,,,,7k9k1
OMNIBUS DE MEXICO,,,,,7h2w5
AUTO EXPRESS VILLAGON,,,,,6w3g8
GRUPO SECURITAS,,,,,0j1o3
QUIMICOS Y PAPELES DEL NORTE (55),,,,,4r2b3
DENSO,,,,,6x8n9
FLETES 4003,,,,,3a9l3
QUALITA ALIMENTOS PLANTA APODACA,,,,,6j7f0
PICSA DE MEXICO,,,,,8v2i0
STAR JUICE,,,,,3r4y2
GARZA ELIZONDO COMPAÑÍA,,,,,9k8s7
JOB SOLUTIONS,,,,,0l3i9
BEST WORK FORCE SOLUTIONS,,,,,5p3m2
PODIESA,,,,,9n1u5
CIESA,,,,,9e6w1
ASPCIADOS HR CONSULTING,,,,,4e8n3
SKX,,,,,7v9s0
MARROKING,,,,,2o2r3
TOSTADAS DELICIAS,,,,,9k3r6
DONGWON MEXICO,,,,,9i0u7
ORGANIZACIÓN INTEGRAL DE ALARMAS,,,,,1n4q7
FRANCISCO RAMIREZ HERNANDEZ,,,,,2l7m5
KLEIN TOOLS,,,,,7q3h8
GREENPAPER,,,,,1o5z2
NIDEC,,,,,1f7k2
CEVA LOGISTICS,,,,,7d1a8
YAZAKI DIVICIONES,,,,,1m1n8
SUPER CLEAN,,,,,2v3v8
HBE VALLE ALTO,,,,,7t7q4
CAPA SERVICIOS DE RH INTEGRALES,,,,,1z5f7
MEGNA MIRROR,,,,,2u6v7
JUYOUNG MANUFACTURING MEXICO,,,,,4g1r3
APERH,,,,,6b0f5
ALLIED UNIVERSAL,,,,,6v8g2
MANPOWER GROUP,,,,,8m1o3
SMART,,,,,7n4x6
PROMMONT,,,,,7w3c9
BASTEL SEGURIDAD PRIVADA,,,,,1v4m1
CELESTICA DE MEXICO,,,,,9j9y7
RANDSTAD (MONDELEZ),,,,,1t2n5
EMPAQUES RIO GRANDE,,,,,5x9g2
BOTANAS Y DERIVADOS (ENCANTO),,,,,3c1m9
LEADEC MEXICO,,,,,8q5o8
CPN SEGURIDAD PRIVADA,,,,,3g4f0
ADECCO (MERCADO LIBRE),,,,,0v8g3
DCH,,,,,8s7x1
NEW JOBS,,,,,4e2r5
CEMMMEX,,,,,1g0a7
TAEHWA DE MEXICO,,,,,8b8r8
MAHMA SERVICIOS ESPECIALIZADOS,,,,,4i5o8
MONDELEZ INTERNACIONAL,,,,,3l8v1
POLLOS LA CABAÑA,,,,,8n4t9
MICRO,,,,,0j4g8
WTSCO,,,,,3g1u5
SEGURITAS,,,,,7e1x0
API SEGURIDAD,,,,,1j3o2
SIMMA,,,,,6n1f8
ACS INTERNACIONAL,,,,,9e6b6
TORTIREGIO,,,,,0j3c0
EMPACADORA RAMOS,,,,,7t9d3
CARICERIA RAMOS,,,,,7c4d3
REGIO PITSA,,,,,1y2n9
CIASA CONTRACORS,,,,,1c5k5
CHURCH CHICKEN,,,,,4b3m1
SEOHAN AUTO MEICO,,,,,6q8k0
ADVERTISING AND PROMOTION,,,,,9x8e3
DIVISAS SAN JORGE,,,,,9w8a2
PROLEC,,,,,0d6w9
RIDDELL,,,,,8i9j8
TUBACERO,,,,,6g9o5
BIG COLA,,,,,8y9x1
EARLSA,,,,,5l3x7
GENESIS PARRILLAS,,,,,2x0o1
MAS FOOD SERVICE,,,,,2r4p7
INDUSTRIAS VERMONT,,,,,8s6m5
SOGEFI,,,,,2f0f9
BOKADOS,,,,,3c1u9
WALMART,,,,,5w0f2
SAMS CLUB,,,,,2o8n1
YOMP,,,,,1m0k2
EFFORM,,,,,0n2b4
AMPHENOL ADRONICS,,,,,3e8k8
HOTEL MONTERREY,,,,,3l4b1
GOLDEN,,,,,0d1k6
SPPEL,,,,,1q7h6
GRUPO ABX,,,,,3x1j2
HEBEL,,,,,4b8h8
GEEA,,,,,1h6e6
BORA SANA SERVICES,,,,,8h3z7
HAENGSUNGE,,,,,8m0k4
MRY,,,,,6r9u1
YU CASA MAS,,,,,5l6n6
BODEGA AURRERA EXPRESS,,,,,6n7y3
SENDA CITI,,,,,9b0u3
FARMACIAS GUADALAGARA,,,,,6t2b2
SEVEN,,,,,2t2p1
DIEGZA CALIDAD EN LIMPIEZA,,,,,1m4l7
